song_id,song_name,billboard,artist_updated,artist_id,popularity,explicit,song_type
3KkXRkHbMCARz0aVfEt68P,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone & Swae Lee,Post Malone,246dkjvS1zLTtiykXe5h60,92,FALSE,Collaboration
3T6Lsd2qR4nk92hwxJ5sBW,(There's No Place Like) Home for the Holidays,Perry Como,Perry Como,5v8jlSmAQfrkTjAlpUfWtu,3,FALSE,Collaboration
75nEUfYzeskPFRBQk5BvCg,Wonderful Christmastime,Paul McCartney,Paul McCartney,4STHEaNw4mPZ2tzheohgXB,20,FALSE,Collaboration
4so0Wek9Ig1p6CRCHuINwW,White Christmas,Bing Crosby,Bing Crosby,6ZjFtWeHP9XN7FeKSUe80S,49,FALSE,Collaboration
3wScL5W8H40zzCKN0atfBk,Uproar,Lil Wayne,Lil Wayne,55Aa2cqylxrFIXC767Z865,73,TRUE,Collaboration
5274I4mUMnYczyeXkGDWZN,Fine China,Future & Juice WRLD,Future,1RyvyyTE3xzB2ZywiAwp0i,77,TRUE,Collaboration
09IStsImFySgyp0pIQdqAc,The Middle,"Zedd, Maren Morris & Grey",Zedd,2qxJFvFYMEDqd7ui6kSAcq,83,FALSE,Collaboration
2vs5ubqg8QUbfyWZpMfvWe,Astronauts,Future & Juice WRLD,Future,1RyvyyTE3xzB2ZywiAwp0i,61,TRUE,Collaboration
7jr3iPu4O4bTCVwLMbdU2i,Kiss and Make Up,Dua Lipa & BLACKPINK,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,79,FALSE,Collaboration
08bNPGLD8AhKpnnERrAc6G,FRIENDS,Marshmello & Anne-Marie,Marshmello,64KEffDW9EtZ1y2vBYgq8T,82,TRUE,Collaboration
39N9RPD9MRb5WmoLzNzPeA,X,Nicky Jam x J Balvin,Nicky Jam,1SupJlEpv7RS2tPNRaHViT,78,FALSE,Collaboration
3aUFrxO1B8EW63QchEl3wX,Feel The Love,KIDS SEE GHOSTS,KIDS SEE GHOSTS,2hPgGN4uhvXAxiXQBIXOmE,66,TRUE,Collaboration
7GRTrWsP3yo2Fx8umJfA1X,Freeee (Ghost Town Pt. 2),KIDS SEE GHOSTS,KIDS SEE GHOSTS,2hPgGN4uhvXAxiXQBIXOmE,60,TRUE,Collaboration
2I3dW2dCBZAJGj5X21E53k,Kids See Ghosts,KIDS SEE GHOSTS,KIDS SEE GHOSTS,2hPgGN4uhvXAxiXQBIXOmE,62,TRUE,Collaboration
6XlSyYFTU1nodeWwwzVgTV,Sangria Wine,Pharrell Williams x Camila Cabello,Pharrell Williams,2RdwBSPQiwcmiDo9kixcl8,63,FALSE,Collaboration
4PpuH4mxL0rD35mOWaLoKS,Lemon,N*E*R*D & Rihanna,N.E.R.D,5wPoxI5si3eJsYYwyXV4Wi,65,TRUE,Collaboration
2hl6q70unbviGo3g1R7uFx,Échame La Culpa,Luis Fonsi & Demi Lovato,Luis Fonsi,4V8Sr092TqfHkfAA5fXXqG,71,FALSE,Collaboration
3wdfLVUhmX64lIyWIIEW8s,Ice Tray,Quavo & Lil Yachty,Quality Control,6i392l38cR3uBPF0DbNs7S,67,TRUE,Collaboration
4ylWMuGbMXNDgDd8lErEle,The Greatest Show,"Hugh Jackman, Keala Settle, Zac Efron, Zendaya & The Greatest Showman Ensemble",The Greatest Showman Ensemble,63nv0hWWDob56Rk8GlNpN8,74,FALSE,Collaboration
49K3jbwZmZKaDGTfjpIVg0,My Dawg,Lil Baby,Lil Baby,5f7VJjfbwm532GiveGC0ZK,61,TRUE,Collaboration
7J6bnDDitOwfelaJNixHhL,Modern Slavery,Huncho Jack,Huncho Jack,6extd4B6hl8VTmnlhpl2bY,61,TRUE,Collaboration
628Ueb4sRiXApObhcU9iPU,Black & Chinese,Huncho Jack,Huncho Jack,6extd4B6hl8VTmnlhpl2bY,62,TRUE,Collaboration
7g7raxdQpiLZT7aOlib4S1,Motorcycle Patches,Huncho Jack,Huncho Jack,6extd4B6hl8VTmnlhpl2bY,64,TRUE,Collaboration
7foypmc7KZyU716Yv63BPe,Saint,Huncho Jack,Huncho Jack,6extd4B6hl8VTmnlhpl2bY,65,TRUE,Collaboration
7Hr2XoaGpIMKbNXCZDZ3le,Awful Things,Lil Peep,Lil Peep,2kCcBybjl3SAtIcwdWpUe3,71,TRUE,Collaboration
1dNIEtp7AY3oDAKCGg2XkH,Something Just Like This,The Chainsmokers & Coldplay,The Chainsmokers',69GGBxA162lTqCwzJG5jLp,75,FALSE,Collaboration
21yRtB6B8EMounImAfHRCP,Who Dat Boy,"Tyler, The Creator","Tyler, The Creator",4V8LLVI7PbaPR0K2TGSxFF,68,TRUE,Collaboration
3ebXMykcMXOcLeJ9xZ17XH,Scared to Be Lonely,Martin Garrix & Dua Lipa,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,79,FALSE,Collaboration
6yIdwnpDHufLWgQcveTPMk,I Don’t Wanna Live Forever (Fifty Shades Darker),Zayn / Taylor Swift,ZAYN,5ZsFI1h6hIdQRw2ti0hz81,75,FALSE,Collaboration
2Gl0FzuLxflY6nPifJp5Dr,First Time,Kygo & Ellie Goulding,Kygo,23fqKkggKUBHNkbKtXEls4,69,FALSE,Collaboration
7wMPhUSe6CZga1vOMpLTJP,Beauty and the Beast,Ariana Grande & John Legend,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,65,FALSE,Collaboration
23L5CiUhw2jV1OIMwthR3S,In the Name of Love,Martin Garrix & Bebe Rexha,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,79,FALSE,Collaboration
2nBI3iWLhupR7LyAJ5GGkE,Champions,"Kanye West, Gucci Mane, Big Sean, 2 Chainz, Travi$ Scott, Yo Gotti, Quavo, Desiigner",Kanye West,5K4W6rqBFWDnAN6FQUkS6x,66,TRUE,Collaboration
160hN2OsDXnmgExwtG7cvD,Hollow,Tori Kelly,Tori Kelly,1vSN1fsvrzpbttOYGsliDr,55,FALSE,Collaboration
64GRDrL1efgXclrhVCeuA0,Lay Me Down,Sam Smith,Sam Smith,2wY79sveU1sp5g7SokKOiI,75,FALSE,Collaboration
7ewfvLrlI0VNht4vEnoTMh,No Love,August Alsina,August Alsina,19Fi1Rj7kk8kyiwxpXy3yM,62,TRUE,Collaboration
2HB1jDQn9hCojKIr6Yfhze,Say Something,A Great Big World & Christina Aguilera,A Great Big World,5xKp3UyavIBUsGy3DQdXeF,21,FALSE,Collaboration
5LnXWeA9tuWKI2C1H74iiJ,Too Much,Drake,Drake,3TVXtAsR1Inumwj472S9r4,55,TRUE,Collaboration
7iwiTEn7PJYhB4vf3szzAN,We Own It (Fast & Furious),2 Chainz & Wiz Khalifa,2 Chainz,17lzZA2AlOHwCwFALHttmp,65,FALSE,Collaboration
2iJuuzV8P9Yz0VSurttIV5,Scream & Shout,will.i.am & Britney Spears,will.i.am,085pc2PYOi8bGKj0PNjekA,70,TRUE,Collaboration
1hWYT0w2R0J19rlVkiez7X,Battle Scars,Lupe Fiasco & Guy Sebastian,Guy Sebastian,5PjekOABtfU2Kwo0AHVmci,68,FALSE,Collaboration
1r44XThUCsDFToaJWVEuCB,Skyfall,Adele,Natalie Renoir,1J6oTMVgZOOKh6ytjazn87,35,FALSE,Collaboration
65rRB2mspD309xE6YimZTl,Clique,"Kanye West, Jay-Z, Big Sean",Kanye West,5K4W6rqBFWDnAN6FQUkS6x,66,TRUE,Collaboration
4qikXelSRKvoCqFcHLB2H2,Mercy,"Kanye West, Big Sean, Pusha T, 2 Chainz",Kanye West,5K4W6rqBFWDnAN6FQUkS6x,68,TRUE,Collaboration
4OeQM6VKvF8QQLaqvhP3qo,To The World,"Kanye West, R. Kelly",Kanye West,5K4W6rqBFWDnAN6FQUkS6x,35,TRUE,Collaboration
1DbeslBYnckTqqTcc1Y2Tg,New God Flow,Pusha T Kanye West,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,51,TRUE,Collaboration
01hJnhpAmjzg85Etnz2ECH,Body and Soul,Tony Bennett & Amy Winehouse,Amy Winehouse,6Q192DXotxtaysaqNPy5yR,55,FALSE,Collaboration
6qLl3OmST6aWsEuxePXCPE,Boyfriend,Big Time Rush,Big Time Rush,0GWCNkPi54upO9WLlwjAHd,46,FALSE,Collaboration
4CUoHBtNOGvJPiKAtaeQeM,I feel pretty unpretty,Glee Cast,Made famous by Glee Cast,0oAkVF91ZMDgLOKqatvTWo,0,FALSE,Collaboration
1HsLArO4EomHmnXkIqxZEp,Somewhere only we know,Glee Cast,Made famous by Glee Cast,0oAkVF91ZMDgLOKqatvTWo,0,FALSE,Collaboration
3eeyKKtXwcw1gmP7iDypqz,Time after time,Javier Colon,Made famous by Javier Colon,3QWtlPdpaNnvDRaFq5gKsV,1,FALSE,Collaboration
77tvyAdaJIlr9xX657QoKi,As if we never said goodbye,Glee Cast,Made famous by Glee Cast,0oAkVF91ZMDgLOKqatvTWo,0,FALSE,Collaboration
2XkZMkWmzVTDChykFbndyr,Loser like me,Glee Cast,Made famous by Glee Cast,0oAkVF91ZMDgLOKqatvTWo,0,FALSE,Collaboration
